what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364785760447
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1364785760505
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1364785762455
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364785768952
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364785769599
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364785925531
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364785927709
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364785928825
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364785931003
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1364785931058
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1364785932341
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364785948136
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364785957646
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364786800779
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364786800820
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364786803209
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364786805716
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364786808486
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364786809847
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364786811202
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364786811307
executed,command,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.edit.text.c.toggle.source.header",1364786811307
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364786812613
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1364786812668
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1364786813806
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364786816970
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1364787080253
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364787103126
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364787207698
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364835824341
activated,view,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.callHierarchy",1364835871685
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364835885362
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364835888601
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364835927043
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1364835930013
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364836026272
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364836028671
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364836038427
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364836053309
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364836054627
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364836057935
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364836058864
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364836060972
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364836062251
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364836066979
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364836070581
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364839334207
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364839351201
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364839355446
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1364839355492
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364839360322
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364839381489
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364839381596
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364839402572
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364839402572
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.2.v20100608-0100-e3x,"org.eclipse.cdt.mylyn.ui",1364839402739
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364839412846
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364839412846
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364839413814
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364839414866
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364839414866
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364839415987
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364839415987
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1364839535584
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1364839550801
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1364839551130
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1364839551245
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364839552548
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364839552622
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364839552844
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364839554209
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1364839554218
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364839583083
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858096436
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858101440
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858109197
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858115225
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364858119496
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364858119667
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858119728
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1364858169591
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1364858207115
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1364858220836
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1364858226864
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1364858227506
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1364858229729
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1364858231437
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1364858252332
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1364858305081
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1364858364089
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858368561
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858368641
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858368666
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858370426
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1364858372431
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858377306
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858377368
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858377392
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858378712
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858390383
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1364858394622
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858411580
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1364858411594
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858413068
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858436056
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858437706
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858519774
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1364858519790
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1364858522304
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1364858524493
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858526071
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858530019
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1364858535703
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858536263
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858543438
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1364858551239
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858551537
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1364858555149
